,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_Excl_1
PJM_AP,z1,1,1,2,2444,PJM_AP-PJM_ATSI,177.361,0.01,2444,99999,0.95,0
PJM_ATSI,z2,2,1,4,6220,PJM_AP-PJM_Dom,174.418,0.01,6220,99999,0.95,0
PJM_COMD,z3,3,1,6,2785,PJM_AP-PJM_PENE,117.36,0.01,2785,99999,0.95,0
PJM_Dom,z4,4,1,7,1100,PJM_AP-PJM_SMAC,136.117,0.01,1100,99999,0.95,0
PJM_EMAC,z5,5,1,9,3395,PJM_AP-PJM_West,200.76,0.01,3395,99999,0.95,0
PJM_PENE,z6,6,2,1,2444,PJM_ATSI-PJM_AP,177.361,0.01,2444,99999,0.95,0
PJM_SMAC,z7,7,2,9,7400,PJM_ATSI-PJM_West,155.026,0.01,7400,99999,0.95,0
PJM_WMAC,z8,8,3,9,980,PJM_COMD-PJM_West,373.224,0.01,980,99999,0.95,0
PJM_West,z9,9,4,1,6220,PJM_Dom-PJM_AP,174.418,0.01,6220,99999,0.95,0
,,10,4,7,1200,PJM_Dom-PJM_SMAC,126.495,0.01,1200,99999,0.95,0
,,11,4,9,3873,PJM_Dom-PJM_West,298.106,0.01,3873,99999,0.95,0
,,12,5,7,300,PJM_EMAC-PJM_SMAC,91.998,0.01,300,99999,0.95,0
,,13,5,8,9350,PJM_EMAC-PJM_WMAC,101.899,0.01,9350,99999,0.95,0
,,14,6,1,2785,PJM_PENE-PJM_AP,117.36,0.01,2785,99999,0.95,0
,,15,6,8,5173,PJM_PENE-PJM_WMAC,104.569,0.01,5173,99999,0.95,0
,,16,7,1,1100,PJM_SMAC-PJM_AP,136.117,0.01,1100,99999,0.95,0
,,17,7,4,1200,PJM_SMAC-PJM_Dom,126.495,0.01,1200,99999,0.95,0
,,18,7,5,300,PJM_SMAC-PJM_EMAC,91.998,0.01,300,99999,0.95,0
,,19,7,8,780,PJM_SMAC-PJM_WMAC,131.538,0.01,780,99999,0.95,0
,,20,9,1,3395,PJM_West-PJM_AP,200.76,0.01,3395,99999,0.95,0
,,21,9,2,7400,PJM_West-PJM_ATSI,155.026,0.01,7400,99999,0.95,0
,,22,9,3,980,PJM_West-PJM_COMD,373.224,0.01,980,99999,0.95,0
,,23,9,4,3873,PJM_West-PJM_Dom,298.106,0.01,3873,99999,0.95,0
,,24,8,5,9350,PJM_WMAC-PJM_EMAC,101.899,0.01,9350,99999,0.95,0
,,25,8,6,5173,PJM_WMAC-PJM_PENE,104.569,0.01,5173,99999,0.95,0
,,26,8,7,780,PJM_WMAC-PJM_SMAC,131.538,0.01,780,99999,0.95,0